benchmark;lang;descr;label;time;relative;rank
Wordcount;C++;default, gcc;C++ (default, gcc);3.3443233;1.58333860219;3
Wordcount;C++;default, clang;C++ (default, clang);3.4492774;1.63302813968;4
BasicMatOps;C++;default, gcc;C++ (default, gcc);0.20321245;1.00479769912;2
BasicMatOps;C++;default, clang;C++ (default, clang);0.202242153;1.0;1
Fibonacci;C++;default, gcc;C++ (default, gcc);0.1698598;1.23669448837;3
Fibonacci;C++;default, clang;C++ (default, clang);0.21096102;1.53593923162;4
Wordcount;Nim;default, gcc;Nim (default, gcc);2.15397810936;1.01978079955;2
Wordcount;Nim;default, clang;Nim (default, clang);2.11219716072;1.0;1
BasicMatOps;Nim;default, gcc;Nim (default, gcc);0.263345956802;1.3021318894;3
BasicMatOps;Nim;default, clang;Nim (default, clang);0.293244123459;1.44996539598;4
Fibonacci;Nim;default, gcc;Nim (default, gcc);0.160243272781;1.16667965138;2
Fibonacci;Nim;default, clang;Nim (default, clang);0.216470956802;1.57605530661;5
Wordcount;Python;default;Python (default);3.70247983933;1.75290446753;5
BasicMatOps;Python;default;Python (default);20.0496227741;99.1367154506;7
BasicMatOps;Python;numpy;Python (numpy);0.320621013641;1.58533228056;5
Fibonacci;Python;default;Python (default);13.6012501717;99.0263212498;6
Wordcount;Scala;default;Scala (default);6.097307049;2.88671302205;6
BasicMatOps;Scala;default;Scala (default);0.491745774;2.43147022866;6
Fibonacci;Scala;default;Scala (default);0.137349848;1.0;1
